ENT,REGION,EDAD_V,P5_21,P6_12,target,EDAD_V_unknown,P5_19_unknown,P5_21_unknown,P5_21_top,P6_12_no_response,P6_12_unknown,P6_12_top,target_no_response,target_unknown,target_log,P5_19A_unknown,salario_mensual,salario_mensual_unknown,ratio_gasto_ingreso,ahorro
1,2,25.0,4800.0,3000.0,1600.0,False,False,False,False,False,False,False,False,False,7.3783837129967145,False,4800.0,False,0.9997917100604041,0.0
1,2,55.0,6000.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,6000.0,False,0.9998333611064822,0.0
1,2,46.0,6000.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,6800.0,False,0.882223202470225,800.0
1,2,25.0,4000.0,5000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,4000.0,False,0.9997500624843789,0.0
1,2,31.0,4800.0,1200.0,300.0,False,False,False,False,False,False,False,False,False,5.707110264748875,False,4800.0,False,0.9997917100604041,0.0
1,2,33.0,2500.0,10000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,2400.0,False,1.0412328196584757,-100.0
1,2,78.0,2400.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.30184882404728963,5550.0
1,2,18.0,2000.0,3000.0,300.0,False,False,False,False,False,False,False,False,False,5.707110264748875,False,4400.0,False,0.4544421722335833,2400.0
1,2,30.0,800.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4000.0,False,0.19995001249687577,3200.0
1,2,22.0,5200.0,300.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,5400.0,False,0.9627846695056471,200.0
1,2,45.0,9000.0,10000.0,600.0,False,False,False,False,False,False,False,False,False,6.398594934535208,False,6000.0,False,1.4997500416597234,-3000.0
1,2,38.0,1800.0,4000.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,7200.0,False,0.24996528259963893,5400.0
1,2,36.0,10000.0,35000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,1.2577034335303736,-2050.0
1,2,65.0,2400.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.30184882404728963,5550.0
1,2,31.0,3800.0,1000.0,100.0,False,False,False,False,False,False,False,False,False,4.61512051684126,False,3800.0,False,0.9997369113391212,0.0
1,2,68.0,2400.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.30184882404728963,5550.0
1,2,50.0,7200.0,80000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,7200.0,False,0.9998611303985557,0.0
1,2,40.0,3000.0,20000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,12000.0,False,0.24997916840263312,9000.0
1,2,20.0,0.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.0,7950.0
1,2,32.0,8000.0,50000.0,1400.0,False,False,False,False,False,False,False,False,False,7.244941546337007,False,8000.0,False,0.9998750156230471,0.0
1,2,38.0,6400.0,3000.0,300.0,False,False,False,False,False,False,False,False,False,5.707110264748875,False,6400.0,False,0.9998437744102484,0.0
1,2,48.0,6400.0,4000.0,300.0,False,False,False,False,False,False,False,False,False,5.707110264748875,False,6400.0,False,0.9998437744102484,0.0
1,2,37.0,8000.0,3000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,7200.0,False,1.1109568115539508,-800.0
1,2,21.0,8000.0,36000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,6000.0,False,1.3331111481419764,-2000.0
1,2,74.0,2400.0,1000.0,50.0,False,False,False,False,False,False,False,False,False,3.9318256327243257,False,2400.0,False,0.9995835068721366,0.0
1,2,40.0,7200.0,1000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,True,7950.0,True,0.9055464721418689,750.0
1,2,64.0,4500.0,1000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,True,7950.0,True,0.5659665450886681,3450.0
1,2,43.0,6000.0,1000.0,100.0,False,False,False,False,False,False,False,False,False,4.61512051684126,True,7950.0,True,0.7546220601182241,1950.0
1,2,40.0,98000.0,500000.0,7000.0,False,False,False,True,False,False,False,False,False,8.853808274977197,False,8166.666666666666,False,11.998530792147902,-89833.33333333333
1,2,37.0,7800.0,7000.0,800.0,False,False,False,False,False,False,False,False,False,6.68586094706836,False,6000.0,False,1.2997833694384269,-1800.0
1,2,65.0,6000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.7546220601182241,1950.0
1,2,73.0,3800.0,5000.0,800.0,False,False,False,False,False,False,False,False,False,6.68586094706836,False,1200.0,False,3.164029975020816,-2600.0
1,2,23.0,1500.0,20000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,9000.0,False,0.16664815020553272,7500.0
1,2,20.0,3000.0,10000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,8000.0,False,0.3749531308586427,5000.0
1,2,65.0,8000.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,7000.0,False,1.1426939008713042,-1000.0
1,2,37.0,4000.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,False,2800.0,False,1.4280614066404855,-1200.0
1,2,49.0,8500.0,1000.0,98.0,False,False,False,False,False,False,False,False,False,4.59511985013459,False,6950.0,False,1.2228456337217666,-1550.0
1,2,70.0,5000.0,1000.0,9.0,False,True,False,False,False,False,False,False,False,2.302585092994046,True,7950.0,True,0.6288517167651868,2950.0
1,2,85.0,5000.0,500.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.6288517167651868,2950.0
1,2,65.0,5000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.6288517167651868,2950.0
1,2,38.0,21000.0,30000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,17000.0,False,1.2352214575613198,-4000.0
1,2,39.0,7000.0,50000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,8000.0,False,0.8748906386701663,1000.0
1,2,29.0,5400.0,7500.0,9.0,False,False,True,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.6791598541064017,2550.0
1,2,53.0,2600.0,2000.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,False,2400.0,False,1.0828821324448146,-200.0
1,2,51.0,25000.0,25000.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,False,30000.0,False,0.8333055564814507,5000.0
1,2,42.0,1500.0,500.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,False,4800.0,False,0.3124349093938763,3300.0
1,2,38.0,6000.0,1000.0,100.0,False,False,False,False,False,False,False,False,False,4.61512051684126,False,6000.0,False,0.9998333611064822,0.0
1,2,49.0,12000.0,50000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,15000.0,False,0.7999466702219852,3000.0
1,2,50.0,3600.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,False,3600.0,False,0.9997222993612885,0.0
1,2,45.0,2500.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,False,10000.0,False,0.24997500249975002,7500.0
1,2,84.0,2400.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.30184882404728963,5550.0
1,2,59.0,1800.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,1800.0,False,0.9994447529150472,0.0
1,2,29.0,3500.0,6000.0,1200.0,False,False,False,False,False,False,False,False,False,7.0909098220799835,False,5200.0,False,0.6729475100942126,1700.0
1,2,51.0,4000.0,150000.0,4000.0,False,False,False,False,False,False,False,False,False,8.294299608857235,False,9000.0,False,0.4443950672147539,5000.0
1,2,49.0,4000.0,25000.0,1500.0,False,False,False,False,False,False,False,False,False,7.313886831633462,True,7950.0,True,0.5030813734121494,3950.0
1,2,41.0,8000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4000.0,False,1.9995001249687578,-4000.0
1,2,34.0,2000.0,780000.0,2500.0,False,False,False,False,False,False,False,False,False,7.824445930877619,False,7200.0,False,0.2777392028884877,5200.0
1,2,30.0,8000.0,100000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,False,8000.0,False,0.9998750156230471,0.0
1,2,28.0,3000.0,200.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,3000.0,False,0.9996667777407531,0.0
1,2,65.0,2400.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.30184882404728963,5550.0
1,2,24.0,2900.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,False,3600.0,False,0.8053318522632602,700.0
1,2,23.0,1500.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,0.18865551502955602,6450.0
1,2,48.0,3000.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,4000.0,False,0.7498125468632841,1000.0
1,2,54.0,18000.0,15000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,16000.0,False,1.1249296918942566,-2000.0
1,2,28.0,8000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,1.0061627468242988,-50.0
1,2,54.0,7000.0,40000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,False,8000.0,False,0.8748906386701663,1000.0
1,2,38.0,2500.0,3000.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,False,12000.0,False,0.20831597366886093,9500.0
1,2,26.0,10000.0,200000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,False,15000.0,False,0.6666222251849877,5000.0
1,2,39.0,6000.0,7500.0,9.0,False,False,False,False,True,False,False,False,False,2.302585092994046,True,7950.0,True,0.7546220601182241,1950.0
1,2,33.0,20000.0,30000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,True,7950.0,True,2.5154068670607472,-12050.0
1,2,22.0,5400.0,7500.0,1500.0,False,False,True,False,False,True,False,False,False,7.313886831633462,True,7950.0,True,0.6791598541064017,2550.0
